City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nova sintra,14.8667,-24.7167,22.53,71,69,4.27,CV,1702176300
83,afua,-0.1567,-50.3867,25.02,90,89,2.28,BR,1702176300
84,ain bessem,36.2933,3.6732,7.58,64,27,1.51,DZ,1702176300
85,ola,59.5833,151.2833,-3.25,82,100,8.71,RU,1702176300
86,charef,34.621,2.795,5.46,82,65,2.47,DZ,1702176300
87,tolanaro,-25.0319,46.9987,22.04,88,20,5.14,MG,1702176300
88,roghun,38.7826,69.8708,-2.25,83,20,3.46,TJ,1702176300
89,kirensk,57.7853,108.1119,-31.85,97,99,1.7,RU,1702176301
90,tagta,41.6504,59.9164,-5.03,50,0,8.23,TM,1702176301
91,newman,37.3138,-121.0208,10.72,63,89,0.89,US,1702176301
92,al jumum,21.6169,39.6981,24.49,71,47,0.91,SA,1702176301
93,yangquan,37.8575,113.5633,-2.54,83,100,3.87,CN,1702176088
94,grand falls-windsor,48.9332,-55.6649,0.28,83,7,1.82,CA,1702176302
95,nuuk,64.1835,-51.7216,-0.66,80,100,2.06,GL,1702176120
96,nemuro,43.3236,145.575,3.7,51,72,4.66,JP,1702176302
97,cidreira,-30.1811,-50.2056,20.38,78,71,9.34,BR,1702176303
98,ma'rib,15.4591,45.3253,13.11,29,2,1.99,YE,1702176303
99,fort mcmurray,56.7268,-111.381,-9.23,85,100,2.06,CA,1702176303
100,kavaratti,10.5669,72.642,28.6,74,73,4.58,IN,1702176304
101,shihezi,44.3,86.0333,-5.89,86,39,0.49,CN,1702176304
102,tut,37.7953,37.9161,6.05,93,100,1.19,TR,1702176304
103,rio grande,-32.035,-52.0986,19.97,76,13,8.26,BR,1702176276
104,ancud,-41.8697,-73.8203,10.74,94,70,1.86,CL,1702176304
105,lycksele,64.5954,18.6735,-9.07,92,100,2.06,SE,1702176305
106,san luis de la loma,17.2706,-100.8939,25.62,79,84,2.09,MX,1702176305
107,union city,37.5958,-122.0192,12.97,53,0,3.09,US,1702176305
108,sandnessjoen,66.0217,12.6316,-3.71,79,85,10.76,NO,1702176306
109,east london,-33.0153,27.9116,15.8,88,100,3.93,ZA,1702176306
110,quellon,-43.1167,-73.6167,11.66,85,100,2.89,CL,1702176307
111,iqaluit,63.7506,-68.5145,-5.15,93,100,4.63,CA,1702176307
112,sinabang,2.4803,96.3801,27.37,81,99,2.08,ID,1702176307
113,gulf shores,30.246,-87.7008,22.03,83,100,3.09,US,1702176308
114,ponta delgada,37.7333,-25.6667,18.44,94,75,6.17,PT,1702176308
115,jamestown,42.097,-79.2353,13.64,85,100,4.12,US,1702176308
116,lauro de freitas,-12.8944,-38.3272,27.01,78,40,6.17,BR,1702176072
117,hobyo,5.3505,48.5268,26.59,76,70,8.61,SO,1702176309
118,bac lieu,9.285,105.7244,28.39,74,99,5.43,VN,1702176310
119,san narciso,15.0143,120.0803,31.0,60,9,1.12,PH,1702176310
120,camacupa,-12.0167,17.4833,15.65,97,89,1.46,AO,1702176310
121,dogonbadan,30.3586,50.7981,8.05,76,0,0.0,IR,1702176311
122,chonchi,-42.6128,-73.8092,10.56,94,61,1.24,CL,1702176311
123,vilyuchinsk,52.9306,158.4028,1.07,98,100,8.45,RU,1702176311
124,avarua,-21.2078,-159.775,26.03,83,100,10.29,CK,1702176311
125,christchurch,-43.5333,172.6333,15.79,47,100,4.12,NZ,1702175718
126,kairouan,35.6781,10.0963,14.01,67,75,3.6,TN,1702176311
127,boa vista,2.8197,-60.6733,25.99,83,40,1.54,BR,1702176279
128,tahe,52.3333,124.7333,-21.18,61,3,5.6,CN,1702176312
129,vilyuysk,63.7553,121.6247,-24.88,96,100,3.27,RU,1702176312
130,moires,35.0532,24.8744,10.68,81,98,0.45,GR,1702176312
131,tarija,-21.5355,-64.7296,18.64,88,100,0.94,BO,1702176312
132,port isabel,26.0734,-97.2086,23.92,91,0,2.06,US,1702176313
133,kingston,17.997,-76.7936,27.53,78,20,1.03,JM,1702176237
134,port lincoln,-34.7333,135.8667,13.62,90,100,11.21,AU,1702176313
135,vetlanda,57.4289,15.0776,0.59,98,100,3.38,SE,1702176313
136,petropavlovsk-kamchatsky,53.0452,158.6483,0.25,95,100,6.71,RU,1702176314
137,st. john's,47.5649,-52.7093,2.1,87,75,10.8,CA,1702176260
138,khorugh,37.4897,71.553,-8.15,87,72,0.22,TJ,1702176314
139,ajdabiya,30.7554,20.2263,14.27,76,92,2.72,LY,1702176314
140,santana,-0.0583,-51.1817,29.1,74,40,3.6,BR,1702176066
141,kingscliff,-28.2667,153.5667,29.29,57,64,6.17,AU,1702175996
142,paracuru,-3.41,-39.0306,27.84,75,65,6.88,BR,1702176315
143,fisterra,42.9049,-9.2629,17.64,96,100,9.07,ES,1702176316
144,talnakh,69.4865,88.3972,-34.38,99,100,3.45,RU,1702176316
145,broome,42.2506,-75.833,10.21,66,20,3.6,US,1702176316
146,flying fish cove,-10.4217,105.6791,27.82,65,40,4.63,CX,1702176316
